iter	Passed	Remaining
356	1561	2813
357	1563	2802
358	1564	2793
359	1565	2782
360	1566	2772
361	1567	2762
362	1568	2752
363	1569	2742
364	1570	2732
365	1577	2733
366	1579	2724
367	1580	2714
368	1581	2704
369	1585	2699
370	1598	2710
371	1599	2700
372	1600	2690
373	1609	2694
374	1610	2684
375	1611	2674
376	1612	2665
377	1613	2655
378	1614	2645
379	1615	2636
380	1616	2626
381	1625	2629
382	1626	2619
383	1627	2610
384	1628	2601
385	1629	2591
386	1630	2582
387	1631	2573
388	1632	2563
389	1633	2554
390	1642	2558
391	1643	2548
392	1644	2539
393	1645	2530
394	1646	2521
395	1647	2512
396	1649	2505
397	1659	2510
398	1660	2501
399	1661	2492
400	1662	2483
401	1663	2474
402	1664	2466
403	1673	2468
404	1674	2460
405	1675	2451
406	1676	2442
407	1677	2433
408	1678	2425
409	1679	2416
410	1680	2408
411	1681	2399
412	1688	2400
413	1689	2391
414	1690	2383
415	1691	2374
416	1692	2366
417	1693	2358
418	1694	2349
419	1695	2341
420	1696	2333
421	1703	2333
422	1704	2325
423	1705	2317
424	1710	2313
425	1711	2305
426	1712	2297
427	1719	2297
428	1720	2290
429	1721	2282
430	1722	2274
431	1723	2266
432	1724	2258
433	1725	2250
434	1726	2242
435	1727	2235
436	1735	2236
437	1736	2228
438	1737	2220
439	1738	2212
440	1739	2205
441	1740	2197
442	1741	2189
443	1742	2182
444	1744	2175
445	1751	2175
446	1752	2167
447	1753	2160
448	1754	2152
449	1755	2145
450	1756	2138
451	1757	2130
452	1771	2138
453	1772	2131
454	1773	2123
455	1774	2116
456	1775	2109
457	1776	2102
458	1783	2101
459	1784	2094
460	1785	2087
461	1786	2080
462	1787	2073
463	1788	2065
464	1789	2059
465	1790	2052
466	1791	2044
467	1799	2045
468	1800	2038
469	1801	2031
470	1802	2024
471	1803	2017
472	1804	2010
473	1805	2004
474	1806	1997
475	1807	1990
476	1815	1990
477	1816	1983
478	1817	1976
479	1821	1973
480	1822	1967
481	1824	1960
482	1830	1959
483	1831	1952
484	1832	1945
485	1833	1939
486	1834	1932
487	1835	1926
488	1836	1919
489	1837	1912
490	1845	1912
491	1846	1906
492	1847	1899
493	1848	1893
494	1849	1886
495	1850	1880
496	1851	1873
497	1852	1867
498	1853	1860
499	1860	1860
500	1861	1854
501	1862	1848
502	1863	1841
503	1864	1835
504	1866	1829
505	1867	1822
506	1884	1831
507	1885	1825
508	1892	1825
509	1893	1819
510	1894	1812
511	1895	1806
512	1896	1800
513	1897	1794
514	1898	1787
515	1899	1781
516	1900	1775
517	1908	1775
518	1909	1769
519	1910	1763
520	1911	1757
521	1912	1751
522	1913	1744
523	1914	1738
524	1915	1732
525	1916	1726
526	1917	1720
527	1918	1715
528	1919	1709
529	1920	1703
530	1921	1697
531	1922	1691
532	1923	1685
533	1924	1679
534	1938	1685
535	1939	1679
536	1940	1673
537	1941	1667
538	1942	1661
539	1944	1656
540	1945	1650
541	1946	1644
542	1947	1638
543	1948	1633
544	1949	1627
545	1950	1621
546	1957	1621
547	1958	1615
548	1959	1610
549	1960	1604
550	1961	1598
551	1963	1593
552	1964	1587
553	1965	1582
554	1966	1576
555	1974	1576
556	1975	1571
557	1976	1565
558	1977	1559
559	1978	1554
560	1979	1548
561	1993	1553
562	1994	1547
563	1995	1542
564	1996	1536
565	1997	1531
566	1998	1525
567	2005	1525
568	2006	1520
569	2008	1514
570	2009	1509
571	2010	1504
572	2011	1498
573	2012	1493
574	2013	1487
575	2014	1482
576	2022	1482
577	2023	1477
578	2024	1471
579	2025	1466
580	2026	1461
581	2027	1456
582	2028	1450
583	2029	1445
584	2037	1445
585	2038	1440
586	2039	1434
587	2040	1429
588	2061	1438
589	2062	1433
590	2063	1427
591	2065	1423
592	2066	1418
593	2067	1412
594	2067	1407
595	2068	1402
596	2069	1397
597	2070	1392
598	2071	1387
599	2072	1381
600	2073	1376
601	2075	1371
602	2076	1366
603	2076	1361
604	2077	1356
605	2078	1351
606	2080	1346
607	2081	1341
608	2082	1336
609	2083	1331
610	2084	1326
611	2085	1321
612	2085	1316
613	2086	1312
614	2088	1307
615	2089	1302
616	2090	1297
617	2109	1303
618	2110	1299
619	2120	1299
620	2121	1294
621	2122	1289
622	2123	1284
623	2124	1279
624	2125	1275
625	2126	1270
626	2133	1269
627	2135	1264
628	2136	1259
629	2137	1255
630	2138	1250
631	2139	1245
632	2140	1240
633	2141	1236
634	2142	1231
635	2149	1230
636	2150	1225
637	2151	1220
638	2152	1216
639	2153	1211
640	2154	1206
641	2155	1202
642	2156	1197
643	2157	1192
644	2170	1194
645	2172	1190
646	2173	1185
647	2174	1180
648	2181	1180
649	2183	1175
650	2184	1170
651	2185	1166
652	2186	1161
653	2187	1157
654	2187	1152
655	2188	1147
656	2189	1143
657	2197	1142
658	2198	1137
659	2199	1132
660	2200	1128
661	2201	1123
662	2202	1119
663	2203	1114
664	2204	1110
665	2205	1105
666	2213	1104
667	2214	1100
668	2215	1096
669	2216	1091
670	2217	1087
671	2218	1082
672	2222	1079
673	2223	1075
674	2224	1071
675	2225	1066
676	2226	1062
677	2227	1057
678	2228	1053
679	2229	1049
680	2230	1044
681	2231	1040
682	2239	1039
683	2240	1035
684	2241	1030
685	2242	1026
686	2243	1022
687	2244	1017
688	2245	1013
689	2246	1009
690	2247	1004
691	2254	1003
692	2255	999
693	2256	995
694	2257	990
695	2258	986
696	2259	982
697	2260	978
698	2261	973
699	2262	969
700	2275	970
701	2279	967
702	2286	966
703	2287	961
704	2288	957
705	2289	953
706	2290	949
707	2291	945
708	2292	941
709	2293	936
710	2294	932
711	2303	931
712	2304	927
713	2305	923
714	2306	919
715	2307	915
716	2308	911
717	2309	906
718	2310	903
719	2317	901
720	2319	897
721	2320	893
722	2321	889
723	2322	885
724	2323	881
725	2324	877
726	2325	873
727	2352	879
728	2353	874
729	2354	870
730	2355	866
731	2356	862
732	2357	858
733	2358	854
734	2365	852
735	2366	848
736	2367	844
737	2368	840
738	2370	837
739	2371	833
740	2372	829
741	2373	825
742	2374	821
743	2375	817
744	2382	815
745	2383	811
746	2384	807
747	2385	803
748	2386	799
749	2387	795
750	2388	792
751	2389	788
752	2391	784
753	2398	782
754	2404	780
755	2405	776
756	2406	772
757	2407	768
758	2408	764
759	2410	761
760	2411	757
761	2412	753
762	2413	749
763	2414	745
764	2415	741
765	2415	738
766	2416	734
767	2423	732
768	2425	728
769	2426	724
770	2427	720
771	2428	717
772	2429	713
773	2430	709
774	2431	705
775	2432	702
776	2439	700
777	2444	697
778	2445	693
779	2446	690
780	2447	686
781	2455	684
782	2456	680
783	2457	677
784	2458	673
785	2459	669
786	2460	665
787	2461	662
788	2462	658
789	2463	654
790	2464	651
791	2471	649
792	2472	645
793	2473	641
794	2474	638
795	2475	634
796	2476	630
797	2477	627
798	2478	623
799	2479	619
800	2488	618
801	2489	614
802	2490	610
803	2491	607
804	2492	603
805	2493	600
806	2494	596
807	2495	592
808	2527	596
809	2536	594
810	2537	591
811	2538	587
812	2539	584
813	2540	580
814	2541	576
815	2542	573
816	2543	569
817	2544	566
818	2571	568
819	2572	564
820	2573	561
821	2574	557
822	2575	553
823	2587	552
824	2588	549
825	2589	545
826	2590	541
827	2591	538
828	2601	536
829	2602	533
830	2603	529
831	2604	525
832	2605	522
833	2607	519
834	2622	518
835	2623	514
836	2624	511
837	2625	507
838	2631	505
839	2633	501
840	2634	498
841	2636	494
842	2637	491
843	2638	487
844	2639	484
845	2640	480
846	2641	477
847	2648	474
848	2649	471
849	2654	468
850	2655	464
851	2656	461
852	2657	458
853	2665	455
854	2666	452
855	2667	448
856	2668	445
857	2669	441
858	2670	438
859	2671	434
860	2672	431
861	2713	434
862	2715	431
863	2716	427
864	2717	424
865	2718	420
866	2719	417
867	2720	413
868	2721	410
869	2722	406
870	2729	404
871	2730	400
872	2731	397
873	2732	393
874	2733	390
875	2734	387
876	2735	383
877	2736	380
878	2737	376
879	2738	373
880	2746	370
881	2747	367
882	2748	364
883	2749	360
884	2750	357
885	2751	354
886	2752	350
887	2753	347
888	2754	343
889	2778	343
890	2779	340
891	2780	336
892	2781	333
893	2782	329
894	2783	326
895	2784	323
896	2785	319
897	2786	316
898	2796	314
899	2797	310
900	2798	307
901	2799	304
902	2800	300
903	2801	297
904	2803	294
905	2810	291
906	2811	288
907	2812	284
908	2813	281
909	2814	278
910	2816	275
911	2817	271
912	2818	268
913	2825	265
914	2826	262
915	2827	259
916	2845	257
917	2846	254
918	2850	251
919	2851	247
920	2858	245
921	2859	241
922	2860	238
923	2861	235
924	2863	232
925	2864	228
926	2865	225
927	2866	222
928	2867	219
929	2874	216
930	2875	213
931	2876	209
932	2878	206
933	2879	203
934	2880	200
935	2881	197
936	2882	193
937	2889	191
938	2892	187
939	2893	184
940	2894	181
941	2895	178
942	2896	175
943	2955	175
944	2956	172
945	2957	168
946	2958	165
947	2959	162
948	2960	159
949	2961	155
950	2962	152
951	2963	149
952	2964	146
953	2972	143
954	2973	140
955	2974	136
956	2975	133
957	2976	130
958	2977	127
959	2978	124
960	2979	120
961	2980	117
962	2982	114
963	2983	111
964	2984	108
965	2985	105
966	2986	101
967	2987	98
968	2988	95
969	2989	92
970	3003	89
971	3004	86
972	3005	83
973	3012	80
974	3013	77
975	3014	74
976	3015	70
977	3016	67
978	3017	64
979	3018	61
980	3019	58
981	3020	55
982	3028	52
983	3029	49
984	3030	46
985	3031	43
986	3032	39
987	3033	36
988	3034	33
989	3035	30
990	3036	27
991	3043	24
992	3044	21
993	3045	18
994	3046	15
995	3047	12
996	3048	9
997	3118	6
998	3119	3
999	3128	0
